District Number,Not Economically Disadvantaged Percent
57816,22.43
57829,6.92
101871,50
109901,73.94
95901,46.98
221901,29.77
57814,0
14901,62.71
101810,1.58
57810,-9999999
101849,4.95
180903,36.96
57806,25.39
178901,28.77
15901,79.41
250906,47.17
209901,61.2
101902,13.81
184907,87.69
125901,18.75
101903,17.43
101815,-9999999
43901,85.04
57832,-9999999
22901,50.27
37901,32.66
126901,37.3
20901,50.82
249901,67.04
188901,32.24
84804,15.65
140901,13.04
101819,3.41
36901,45.89
93901,59.16
2901,57.72
20902,38.14
43902,58.91
127901,35.06
71906,-9999999
110901,13.99
228905,42.78
109912,50.18
4901,44.14
205901,27.64
5901,59.63
61910,91.74
101803,83.31
220802,81.43
220901,30.77
212901,42.62
21805,22.4
217901,45.78
107901,24.06
34901,33.55
61907,71.43
227825,10.83
227821,88.15
227901,46.81
196901,35.14
70901,46.65
194902,44.96
34902,-9999999
161918,42.15
220915,54.26
30903,33.76
200901,42.69
195902,11.11
10902,46.47
25901,50
178913,27.32
36902,83.46
14902,17.11
15834,92.56
11901,35.89
158901,30.76
101847,-9999999
123910,20.75
183901,64.09
13901,22.44
39904,42.45
91901,62.24
8901,52.84
14903,54.97
125902,32.47
66901,20.11
138904,35
101870,36.53
15809,1.36
187901,-9999999
230901,37.86
114901,31.04
193801,7.84
220902,43.14
178902,34.05
177903,58
16902,51.51
116915,44.89
25904,41.76
34909,36.04
175902,41.86
235901,15.22
43917,49.93
72904,-9999999
109913,39.39
123807,8.35
130901,83.19
116916,48.02
241901,48.89
74903,28.73
148901,35.26
17901,76.38
117901,48.05
161923,63.73
185901,13.83
169901,45.95
249902,50.92
180901,21.11
136901,43.55
160901,35.04
8903,37.45
213801,43.86
21803,8.27
20905,45.7
215901,35.7
198901,49.15
239901,43.3
181901,-9999999
249903,36.4
203902,20.65
184909,-9999999
41901,52.73
121902,34.23
25908,51.05
15830,32.38
24901,20.16
223901,21.96
107902,47.52
31901,4.1
25902,35.1
161919,38.67
21902,24.86
119901,50.57
166907,21.9
186901,50.87
145901,32.95
212902,68.03
121903,62.44
243901,47.8
176901,26.22
126902,60.13
27903,43.6
71801,-9999999
239903,46.41
188904,81.45
109902,30.17
101869,7.32
116901,67.67
178903,54.93
26901,42.2
29901,-9999999
49905,-9999999
198902,-9999999
101837,55.8
166901,25.64
116910,35.93
106901,58.68
234902,61.03
71907,29.45
191901,69.32
201913,18.21
15837,38.02
64903,24.13
220919,98.57
57903,35.63
183902,44.14
220917,20.23
1902,66.9
57904,31.82
227817,29.23
116902,46.08
43903,76.12
210901,20.74
133901,23.57
145902,55.69
228904,41.74
174908,-9999999
3907,43.42
101905,20.5
103901,40.53
227814,100
220815,40.54
212909,23.96
225906,51.12
7901,25.15
206903,47.9
229906,45.36
249904,41.63
38901,49.43
99902,9.73
73901,13.87
161920,75.15
174901,-9999999
139905,46.85
226901,77.66
67902,44.53
243906,33.47
57841,5.97
65901,44.91
194904,-9999999
6902,48.66
84910,71.69
126903,33.44
146901,18.04
18901,47.34
71901,15.93
30902,48.12
114902,57.95
204901,35.63
42901,43.97
21901,65.45
91902,47.62
229901,39.58
168901,39.74
20907,-9999999
45902,37.95
46902,71.89
47901,33.21
130902,43.87
