Chapter_41_District,District,Chapter 41 Designation 2016,2016   Total Recapture
ABERNATHY ISD,095901,YES,"$312,721 "
ADRIAN ISD,180903,,$0 
ALAMO HEIGHTS ISD,015901,YES,"$29,004,170 "
ALBANY ISD,209901,YES,"$36,454 "
ALEDO ISD,184907,YES,"$782,539 "
ALLEN ISD,043901,YES,"$1,119,419 "
ALLISON ISD,242904,,$0 
ALVARADO ISD,126901,,$0 
ALVORD ISD,249901,YES,"$102,102 "
ANAHUAC ISD,036901,YES,$0 
ANDERSON-SHIRO CISD,093901,YES,$0 
ANDREWS ISD,002901,YES,"$28,299,777 "
ANGLETON ISD,020902,,$0 
ANTON ISD,110901,,$0 
ARANSAS COUNTY ISD,004901,YES,"$3,982,522 "
ARCHER CITY ISD,005901,YES,"$319,444 "
ARGYLE ISD,061910,YES,"$140,358 "
ARP ISD,212901,,$0 
ASPERMONT ISD,217901,YES,"$733,371 "
AUSTIN ISD,227901,YES,"$265,657,254 "
AUSTWELL-TIVOLI ISD,196901,YES,"$2,408,115 "
AZLE ISD,220915,,$0 
BANDERA ISD,010902,YES,$0 
BARBERS HILL ISD,036902,YES,"$14,504,981 "
BEAUMONT ISD,123910,YES,$0 
BECKVILLE ISD,183901,YES,"$55,750 "
BELLVILLE ISD,008901,YES,"$81,780 "
BENAVIDES ISD,066901,YES,$0 
BIG SANDY ISD,187901,YES,$0 
BIG SPRING ISD,114901,YES,"$127,786 "
BISHOP CISD,178902,,$0 
BLACKWELL CISD,177903,YES,"$1,347,299 "
BLANCO ISD,016902,YES,$0 
BLEDSOE ISD,040903,,$0 
BLUFF DALE ISD,072904,YES,"$416,614 "
BOERNE ISD,130901,YES,"$6,117,102 "
BOOKER ISD,148901,YES,"$172,103 "
BORDEN COUNTY ISD,017901,YES,"$4,049,697 "
BOWIE ISD,169901,YES,$0 
BOYD ISD,249902,YES,"$515,753 "
BRAZOS ISD,008903,,$0 
BRAZOSPORT ISD,020905,YES,$0 
BRECKENRIDGE ISD,215901,YES,$0 
BREMOND ISD,198901,YES,$0 
BRENHAM ISD,239901,YES,$0 
BRIDGEPORT ISD,249903,YES,"$331,782 "
BROCK ISD,184909,YES,$0 
BROOKELAND ISD,121902,YES,$0 
BROOKESMITH ISD,025908,,$0 
BROOKS COUNTY ISD,024901,,$0 
BROWNFIELD ISD,223901,YES,"$76,147 "
BRYSON ISD,119901,YES,$0 
BUENA VISTA ISD,186901,YES,"$341,142 "
BUFFALO ISD,145901,YES,$0 
BURKEVILLE ISD,176901,YES,"$48,041 "
BURNET CISD,027903,YES,$0 
BURTON ISD,239903,YES,"$507,311 "
BUSHLAND ISD,188904,YES,"$990,730 "
CALDWELL ISD,026901,YES,$0 
CALHOUN COUNTY ISD,029901,YES,"$8,771,045 "
CALLISBURG ISD,049905,YES,"$19,771 "
CALVERT ISD,198902,YES,"$8,200 "
CANADIAN ISD,106901,YES,"$8,421,304 "
CANYON ISD,191901,YES,$0 
CARRIZO SPRINGS CISD,064903,YES,"$46,079,572 "
CARROLL ISD,220919,YES,"$15,726,453 "
CARROLLTON-FARMERS BRANCH ISD,057903,YES,$0 
CARTHAGE ISD,183902,YES,"$13,497,860 "
CAYUGA ISD,001902,YES,$0 
CENTERVILLE ISD,145902,YES,$0 
CHANNING ISD,103901,YES,"$716,978 "
CHARLOTTE ISD,007901,YES,"$14,160 "
CHICO ISD,249904,YES,"$1,049,319 "
CHILLICOTHE ISD,099902,YES,"$320,449 "
CHIRENO ISD,174901,YES,$72 
CHISUM ISD,139905,YES,"$876,225 "
CHRISTOVAL ISD,226901,,$0 
CISCO ISD,067902,YES,"$285,572 "
CLEAR CREEK ISD,084910,YES,$0 
CLEBURNE ISD,126903,,$0 
CLIFTON ISD,018901,YES,$0 
COAHOMA ISD,114902,YES,$0 
COLDSPRING-OAKHURST CISD,204901,YES,$0 
COLLEGE STATION ISD,021901,YES,$0 
COLUMBUS ISD,045902,YES,$0 
COMAL ISD,046902,YES,$0 
COMFORT ISD,130902,YES,$0 
COMSTOCK ISD,233903,YES,"$220,289 "
CONROE ISD,170902,YES,$0 
COPPELL ISD,057922,YES,"$23,515,723 "
COTULLA ISD,142901,YES,"$56,190,696 "
COUPLAND ISD,246914,YES,$0 
COVINGTON ISD,109903,,$0 
CRANE ISD,052901,YES,"$10,312,075 "
CRANFILLS GAP ISD,018908,,$0 
CROCKETT COUNTY CONSOLIDATED CSD,053001,YES,"$12,355,887 "
CROSS ROADS ISD,107904,,$0 
CROWELL ISD,078901,YES,"$52,206 "
CUERO ISD,062901,YES,"$5,237,262 "
CULBERSON COUNTY-ALLAMOORE ISD,055901,YES,"$2,813,357 "
CUSHING ISD,174902,,$0 
DAINGERFIELD-LONE STAR ISD,172902,YES,"$250,193 "
DALLAS ISD,057905,YES,$0 
DARROUZETT ISD,148905,YES,"$240,601 "
DAWSON ISD,058902,YES,"$573,558 "
DECATUR ISD,249905,YES,"$2,538,664 "
