Year,NCES ID,State ID (CDN),District Name,County,Reported Enrollment,Average Daily Attendance (ADA),Total Revenue,Local Tax Revenue,Other Local & Intermediate ,State Revenue,Federal Revenue,Local Tax Revenue (%),Other Local & Intermediate (%),State Revenue (%),Federal Revenue (%),Total Operating Expenditures (TOP),Payroll,Other Operating,Debt Service,Capital Outlay,TOP - Instruction ,TOP - Instructional Res Media,TOP - Curriculum/Staff Develop,Instructional Leadership,School Leadership,Guidance Counseling Svcs,Social Work Services,Health Services,Transportation,Food,Extracurricular,General Administration,Plant Maint/Operation,Security/Monitoring,Data Processing Services,Community Services,Total Disbursments,Total Expenditures,Recapture,Total Other Uses,Intergovernmental Charge,Program Operating Expenditures,Regular,Gifted & Talented,Career and Technical,Students with Disabilities,Accelerated Education,Bilingual,Nondisc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Supplemental Serv,T1 A Schoolwide- St Comp >=40%,Athletics/Related Activities,High School Allotment,Prekindergarten,Total Tax Rate,M&O Rates,I&S Rates,Property Value,Property Value Per Pupil,Prop Val: Business,Prop Val: Residential,Prop Val: Land,Prop Val: Oil and Gas,Prop Val: Other,Wealth Per ADA,Recapture*,ASATAR*,Surplus,Deficit,Year Fixed
2012,4813200,001902,Cayuga ISD,Anderson,590,568.308,"$8,015,229","$3,082,686","$450,919","$2,643,459","$1,838,165",38.46,5.63,32.98,22.93,"$7,904,770","$5,962,051","$1,966,903",$0,"$837,684","$4,512,209","$73,480","$12,129","$263,071","$270,764","$804,129",$0,"$49,313","$302,602","$261,851","$283,820","$256,900","$673,189",$177,"$141,136",$0,"$8,876,956","$8,766,638",$0,"$5,025","$105,293","$6,283,185","$2,750,620","$9,893","$190,698","$2,755,783","$309,436",$965,$0,"$7,895",$0,$0,"$205,817","$52,078",$0,1.0400,1.0400,0.0000,"$303,242,025","$513,970","$203,221,113","$22,500,662","$85,686,773","$23,174,990","$5,112,997","$478,318",$0,"$908,279","$3,413,760",$0,2012
2012,4818390,001903,Elkhart ISD,Anderson,"1,271","1,179.622","$11,424,488","$3,518,434","$342,510","$6,771,744","$791,800",30.8,3,59.27,6.93,"$9,579,531","$7,092,906","$2,487,714","$1,017,794","$1,968,188","$5,391,466","$160,761","$40,083","$67,613","$526,772","$172,789",$0,"$34,413","$400,661","$433,727","$581,217","$495,797","$1,126,290",$0,"$147,942","$1,089","$12,742,956","$12,566,602",$0,$0,"$176,354","$6,776,222","$4,131,268","$9,930","$420,988","$1,028,347",$0,$0,$0,$0,$0,"$714,194","$392,689","$78,806",$0,1.3600,1.1700,0.1900,"$244,205,496","$192,137","$51,889,378","$84,051,856","$131,640,182","$22,123,550","$8,395,099","$211,111",$0,$0,"$3,379,985",$0,2012
2012,4819770,001904,Frankston ISD,Anderson,733,697.350,"$7,326,232","$2,991,982","$262,770","$3,044,011","$1,027,469",40.84,3.59,41.55,14.02,"$6,758,460","$5,313,473","$1,646,337","$176,460","$996,403","$3,707,209","$114,415","$82,583",$0,"$373,248","$171,314",$0,"$64,301","$54,516","$423,557","$471,006","$334,801","$670,668","$81,496","$209,346",$0,"$8,421,329","$8,132,673",$0,"$168,000","$120,656","$4,850,886","$2,865,741","$17,938","$345,370","$610,426",$0,"$9,013",$0,$0,"$1,208","$594,845","$265,745","$73,917","$66,683",1.0400,1.0400,0.0000,"$299,715,628","$408,889","$48,057,883","$128,979,222","$84,064,229","$87,363,190","$6,486,637","$376,248",$0,"$405,836","$18,714,165",$0,2012
2012,4832250,001906,Neches ISD,Anderson,403,391.025,"$4,167,087","$1,446,824","$171,515","$2,280,210","$268,538",34.72,4.12,54.72,6.44,"$3,352,335","$2,532,554","$819,781","$333,770","$14,231","$1,793,057","$20,047","$7,060","$1,580","$242,268","$60,850",$0,"$40,451","$112,749","$262,009","$122,649","$156,116","$437,348",$0,"$96,151",$0,"$3,760,275","$3,700,336",$0,$0,"$59,939","$2,199,629","$1,475,299","$8,372","$121,091","$381,007","$142,010","$2,452",$0,$0,$0,"$47,040",$0,"$22,358",$0,1.3641,1.0400,0.3241,"$97,469,093","$241,859","$31,654,772","$23,894,052","$42,344,154","$12,955,590","$1,801,658","$291,362",$0,$0,"$2,133,053",$0,2012
2012,4834050,001907,Palestine ISD,Anderson,"3,220","2,968.383","$34,294,815","$15,592,023","$1,176,892","$11,970,928","$5,554,972",45.46,3.43,34.91,16.2,"$27,584,239","$19,849,463","$8,467,624","$4,401,598","$11,918,206","$14,393,233","$182,043","$713,617","$715,222","$1,496,131","$1,032,762","$93,422","$173,677","$1,097,916","$1,683,641","$1,133,744","$944,228","$3,046,251","$156,294","$722,058","$176,452","$47,006,924","$44,636,891",$0,"$2,083,372","$286,661","$19,448,668","$10,725,964","$117,208","$735,807","$3,291,744","$848,017","$157,866",$0,"$273,196",$0,"$2,025,996","$1,028,620","$155,973","$88,277",1.5660,1.1700,0.3960,"$986,811,913","$306,463","$494,177,520","$442,744,522","$217,423,067","$4,114,870","$10,929,077","$328,876",$0,"$235,816","$13,597,526",$0,2012
2012,4843290,001908,Westwood ISD,Anderson,"1,717","1,612.319","$14,776,093","$5,123,234","$655,882","$7,664,755","$1,332,222",34.67,4.44,51.87,9.02,"$12,307,022","$9,266,732","$3,040,290",$0,"$683,413","$7,056,677","$131,941","$117,400",$0,"$784,916","$251,152",$0,"$93,009","$443,717","$793,341","$493,277","$500,588","$1,311,593","$14,973","$314,438",$0,"$13,194,799","$12,990,435",$0,$0,"$204,364","$8,839,244","$4,390,016","$308,422","$419,041","$1,228,913","$1,548,730","$296,990",$0,"$89,161",$0,"$42,329","$380,130","$135,512",$0,1.1700,1.1700,0.0000,"$437,974,883","$255,081","$250,481,717","$153,540,008","$66,922,272","$9,208,500","$10,692,513","$272,630",$0,"$815,136","$10,153,548",$0,2012
2012,4840500,001909,Slocum ISD,Anderson,431,396.126,"$3,976,370","$1,087,019","$83,810","$2,480,804","$324,737",27.34,2.11,62.39,8.17,"$3,323,388","$2,675,603","$647,785",$0,"$133,229","$2,125,910","$43,506",$239,"$1,857","$180,807","$60,521",$0,$924,"$142,562","$187,356","$86,979","$215,712","$266,768",$0,"$10,247",$0,"$3,490,771","$3,456,617",$0,$0,"$34,154","$2,532,259","$1,412,211","$6,803","$223,951","$336,136","$439,071","$9,868",$0,$0,$0,$0,"$73,882","$30,337",$0,0.9780,0.9780,0.0000,"$100,984,773","$234,303","$10,688,679","$20,457,293","$69,254,843","$12,583,170","$4,269,009","$290,167",$0,"$258,583","$3,520,854",$0,2012
2012,4808280,002901,Andrews ISD,Andrews,"3,408","3,157.862","$37,545,848","$27,579,743","$998,864","$6,578,661","$2,388,580",73.46,2.66,17.52,6.36,"$30,590,982","$25,908,634","$4,710,841","$4,397,166","$5,879,268","$17,693,196","$455,741","$49,968","$570,599","$1,041,233","$705,785","$62,131","$291,616","$806,403","$1,821,258","$1,456,535","$1,272,373","$3,865,715","$88,003","$410,426","$28,293","$61,409,334","$40,895,909","$20,508,857",$0,"$4,568","$22,074,399","$13,233,836","$231,942","$778,233","$3,020,391","$2,295,676","$149,185",$0,"$148,393",$0,"$529,351","$1,191,245","$214,270","$281,877",1.1672,1.0600,0.1072,"$3,765,328,630","$1,104,850","$447,091,407","$437,617,722","$29,953,655","$2,997,035,617","$6,460,430","$1,371,174","$20,270,429","$4,070,099","$25,698,298",$0,2012
2012,4800074,003801,Pineywoods Community Academy,Angelina,554,503.797,"$4,673,136",$0,"$236,817","$3,936,966","$499,353",0,5.07,84.25,10.69,"$4,490,922","$3,303,089","$1,222,589","$102,506",$0,"$2,871,842",$0,$1,$0,"$370,563","$59,306",$0,"$57,851","$40,490","$252,382","$129,304","$288,733","$344,709",$0,"$75,741","$34,756","$4,628,184","$4,628,184",$0,$0,$0,"$3,336,373","$2,706,321",$0,$0,"$222,047","$356,661",$0,$0,$0,$0,$579,"$33,367",$0,"$17,398",,,,,,,,,,,$0,$0,$0,"$1,799,055",$0,2012
2012,4823790,003902,Hudson ISD,Angelina,"2,714","2,554.932","$25,596,720","$4,698,140","$1,666,033","$16,377,607","$2,854,940",18.35,6.51,63.98,11.15,"$20,372,883","$16,049,073","$4,339,376","$1,700,025","$1,010,652","$11,268,150","$306,584","$324,657","$94,369","$1,273,675","$697,991","$127,187","$138,779","$717,019","$1,499,624","$578,954","$753,412","$2,309,087","$190,623","$92,772","$15,566","$23,188,249","$23,099,126",$0,$0,"$89,123","$14,170,589","$7,050,052","$763,836","$657,013","$2,060,381","$71,494","$122,953","$374,191","$188,901",$0,"$2,071,604","$404,114","$145,979","$260,071",1.2400,1.1700,0.0700,"$362,566,052","$133,591","$83,932,498","$262,086,772","$80,646,209",$0,"$10,968,894","$149,256",$0,"$401,508","$10,113,497",$0,2012
